epoch,training loss,training acc,test acc,computation time
1,1.3737472295761108,0.4538888888888889,0.8962222222222224,0.030948400497436523
2,0.7414724826812744,0.8512499999999998,0.9271111111111111,0.028956174850463867
3,0.3707619309425354,0.9355555555555554,0.9491111111111111,0.029920101165771484
4,0.23278066515922546,0.9488888888888888,0.9511111111111111,0.02996087074279785
5,0.1656903177499771,0.9608333333333332,0.9551111111111112,0.029920101165771484
6,0.14705587923526764,0.9645833333333331,0.9575555555555555,0.030914783477783203
7,0.11488983780145645,0.9748611111111111,0.9575555555555555,0.029958486557006836
8,0.09978915005922318,0.9804166666666667,0.9555555555555555,0.02991938591003418
9,0.08150402456521988,0.9830555555555558,0.9555555555555555,0.029919862747192383
10,0.07613924890756607,0.9848611111111113,0.955111111111111,0.029920578002929688
11,0.06891987472772598,0.9859722222222224,0.9595555555555555,0.029918909072875977
12,0.0541129931807518,0.9915277777777778,0.966,0.028922319412231445
13,0.052747420966625214,0.9947222222222223,0.96,0.029920101165771484
14,0.047413818538188934,0.9933333333333335,0.9635555555555555,0.028952360153198242
15,0.03909344598650932,0.9944444444444446,0.9640000000000001,0.02991938591003418
16,0.036454394459724426,0.9972222222222223,0.9719999999999999,0.029919862747192383
17,0.033568013459444046,0.9961111111111111,0.966,0.029918909072875977
18,0.029796885326504707,0.9977777777777779,0.968,0.02991938591003418
19,0.025231583043932915,0.9983333333333333,0.966,0.029961824417114258
20,0.02820712700486183,0.9955555555555554,0.968,0.029920578002929688
21,0.02446729876101017,0.9977777777777779,0.968,0.029920578002929688
22,0.022139370441436768,0.9994444444444446,0.966,0.029952526092529297
23,0.024184638634324074,0.9959722222222224,0.968,0.02992081642150879
24,0.02190776914358139,0.9977777777777779,0.9719999999999999,0.029920578002929688
25,0.022223809733986855,0.9988888888888889,0.966,0.029920101165771484
26,0.019444111734628677,0.9994444444444444,0.968,0.029919862747192383
27,0.019038118422031403,0.9983333333333333,0.9719999999999999,0.029952049255371094
28,0.018430450931191444,0.9981944444444445,0.968,0.029919147491455078
29,0.020265186205506325,0.9975,0.97,0.02991962432861328
30,0.016363436356186867,0.9988888888888889,0.97,0.029918909072875977
31,0.01675952784717083,0.9994444444444444,0.966,0.029919147491455078
32,0.016337186098098755,1.0,0.97,0.02991771697998047
33,0.017531411722302437,0.9988888888888889,0.966,0.028922557830810547
34,0.014085671864449978,1.0,0.9719999999999999,0.028922557830810547
35,0.015242478810250759,0.9988888888888889,0.968,0.029920101165771484
36,0.013263056054711342,0.9994444444444446,0.968,0.029920578002929688
37,0.015196152962744236,0.9994444444444446,0.968,0.029920578002929688
38,0.013059226796030998,0.9994444444444446,0.968,0.02992415428161621
39,0.01586032100021839,0.9983333333333333,0.97,0.029886245727539062
40,0.01382684987038374,1.0,0.966,0.029967784881591797
41,0.013418416492640972,1.0,0.968,0.02992844581604004
42,0.01389499194920063,0.9988888888888889,0.9719999999999999,0.029944181442260742
43,0.01332602184265852,1.0,0.966,0.028922319412231445
44,0.012551515363156796,1.0,0.966,0.02991938591003418
45,0.012654933147132397,1.0,0.97,0.02991962432861328
46,0.0128555279225111,1.0,0.974,0.028963088989257812
47,0.011119614355266094,1.0,0.9719999999999999,0.029918432235717773
48,0.011837041936814785,1.0,0.9719999999999999,0.02995467185974121
49,0.012837255373597145,1.0,0.9719999999999999,0.02992105484008789
50,0.014368431642651558,0.9988888888888889,0.976,0.029920101165771484
