epoch,training loss,training acc,test acc,computation time
1,1.8179250955581665,0.2409722222222222,0.4968888888888888,0.029920101165771484
2,1.4865822792053223,0.3865277777777778,0.6984444444444444,0.029920578002929688
3,1.259555459022522,0.4981944444444445,0.7,0.029918193817138672
4,1.0695549249649048,0.5784722222222222,0.7762222222222221,0.029919862747192383
5,0.90477454662323,0.664861111111111,0.8322222222222223,0.029923439025878906
6,0.8041390180587769,0.7163888888888889,0.8226666666666669,0.02992081642150879
7,0.6498129963874817,0.7895833333333333,0.8742222222222222,0.02992415428161621
8,0.5730932354927063,0.8066666666666666,0.8951111111111111,0.0299530029296875
9,0.5269021391868591,0.8300000000000002,0.9031111111111111,0.029928922653198242
10,0.4752866327762604,0.8359722222222223,0.8766666666666667,0.028953075408935547
11,0.39604854583740234,0.8740277777777778,0.8991111111111112,0.029918909072875977
12,0.3650985360145569,0.8884722222222223,0.8931111111111111,0.029888391494750977
13,0.32080593705177307,0.9058333333333333,0.9115555555555556,0.029955387115478516
14,0.3208009898662567,0.8979166666666667,0.9215555555555556,0.029920578002929688
15,0.30570459365844727,0.9016666666666667,0.9339999999999999,0.02991962432861328
16,0.26927417516708374,0.9156944444444444,0.9359999999999999,0.02892279624938965
17,0.24344928562641144,0.9290277777777776,0.9255555555555555,0.02892160415649414
18,0.24526487290859222,0.9223611111111111,0.9335555555555555,0.029929637908935547
19,0.24342989921569824,0.9309722222222222,0.9339999999999999,0.028954744338989258
20,0.2097211629152298,0.9330555555555554,0.9400000000000001,0.029920578002929688
21,0.20675744116306305,0.9373611111111111,0.9295555555555556,0.029950857162475586
22,0.2108231782913208,0.9237499999999998,0.9359999999999999,0.029895544052124023
23,0.19167238473892212,0.9431944444444444,0.938,0.02995014190673828
24,0.1717066466808319,0.9477777777777777,0.9415555555555555,0.02992844581604004
25,0.18215081095695496,0.9459722222222222,0.9280000000000002,0.029895305633544922
26,0.17668254673480988,0.9387500000000001,0.9460000000000001,0.029915809631347656
27,0.1517554372549057,0.9556944444444443,0.924,0.029926300048828125
28,0.13890697062015533,0.95875,0.9480000000000001,0.029893159866333008
29,0.1482686996459961,0.9593055555555554,0.9359999999999999,0.030921459197998047
30,0.14220307767391205,0.95375,0.9395555555555555,0.02992081642150879
31,0.14895541965961456,0.9536111111111111,0.9339999999999999,0.028921842575073242
32,0.13900701701641083,0.9555555555555555,0.9415555555555555,0.02991938591003418
33,0.11692220717668533,0.96625,0.9415555555555555,0.028922557830810547
34,0.11233355104923248,0.9677777777777776,0.938,0.029919862747192383
35,0.1106095090508461,0.9666666666666666,0.938,0.028922557830810547
36,0.10615815967321396,0.9659722222222222,0.9440000000000002,0.029919862747192383
37,0.12097051739692688,0.9615277777777779,0.9400000000000001,0.029920339584350586
38,0.12286613136529922,0.9661111111111111,0.9400000000000001,0.02895498275756836
39,0.10685159265995026,0.9701388888888888,0.9400000000000001,0.02889704704284668
40,0.11209549009799957,0.9612499999999999,0.9359999999999999,0.029918432235717773
41,0.09454593807458878,0.9734722222222221,0.9475555555555555,0.028950214385986328
42,0.09640961140394211,0.9690277777777777,0.944,0.029952049255371094
43,0.10640628635883331,0.9675000000000001,0.9400000000000001,0.029888629913330078
44,0.09304368495941162,0.9744444444444444,0.942,0.029952049255371094
45,0.09068083018064499,0.97375,0.9375555555555556,0.02892136573791504
46,0.0757988840341568,0.9826388888888891,0.9460000000000001,0.029919147491455078
47,0.08904159814119339,0.9722222222222222,0.9415555555555555,0.029918432235717773
48,0.08527076989412308,0.972638888888889,0.93,0.02995133399963379
49,0.08971472829580307,0.9743055555555556,0.942,0.029919862747192383
50,0.08731506764888763,0.9752777777777779,0.9355555555555556,0.029954910278320312
